,Simple Random Sample,Systematic Sample,Stratified Sample,Cluster Sample,Bootstrap Sample
Logistic Regression,0.7139737991266376,0.6855895196506551,0.834061135371179,0.7096069868995634,0.7030567685589519
KNN,0.5,0.5,0.5021834061135371,0.5021834061135371,0.5
Random Forest,0.5524017467248908,0.5524017467248908,0.5,0.5,0.5
Decision Tree,0.5524017467248908,0.537117903930131,0.5502183406113537,0.5524017467248908,0.5480349344978166
Naive Bayes,0.6200873362445415,0.6179039301310044,0.6200873362445415,0.6200873362445415,0.5436681222707423
